id,title,author,isbn,date,availability
48,Monitored local installation,Jennifer Reed,978-1-993585-58-3,2010-07-14,False
49,Configurable solution-oriented leverage,Erin Bryant,978-1-279-59083-6,1978-02-10,False
50,Multi-channeled dynamic model,Kimberly Castaneda,978-1-151-86121-4,1994-11-04,True
51,Down-sized analyzing migration,Melvin Tran,978-0-650-49242-4,2001-09-23,False
52,Configurable real-time standardization,Brianna Sloan,978-0-566-36068-8,2017-07-05,False
53,Robust upward-trending approach,Dr. Jennifer White,978-0-13-054523-7,2019-04-20,True
54,Inverse national success,Andrew Brown,978-0-7554-8990-9,1986-02-23,True
55,Face-to-face heuristic hub,Crystal Watts,978-0-7030-3446-5,2004-11-14,False
56,Synergized client-server middleware,Lisa Hill,978-0-12-491503-9,2012-12-23,False
57,Profound transitional algorithm,Brittney Roberts,978-0-467-00245-8,1979-09-06,True
58,Ameliorated systemic time-frame,Crystal Miller,978-1-03-489953-2,1993-04-14,False
59,Total disintermediate implementation,Michael Davis,978-0-7713-9075-3,1987-03-23,False
60,Vision-oriented stable initiative,David Hicks,978-1-75702-490-7,2006-11-07,False
61,Decentralized empowering info-mediaries,Jason Branch,978-0-07-656364-7,2013-09-25,True
62,Expanded responsive attitude,Lindsey Robertson,978-0-456-38402-2,2014-04-19,False
63,Polarized full-range matrices,Shannon Sharp,978-0-632-46340-4,1974-01-29,False
64,Reactive grid-enabled algorithm,Lisa Nguyen,978-1-318-27473-4,1977-01-09,True
65,Object-based high-level toolset,Mark Matthews,978-0-9883519-9-8,2011-06-10,True
66,Robust demand-driven customer loyalty,Robert Day,978-1-4336-0545-1,1997-01-18,False
67,Multi-layered grid-enabled ability,Marissa Smith,978-0-252-78898-7,1987-02-21,True
68,Integrated explicit projection,Beverly Gonzalez,978-0-946888-68-9,2011-05-03,False
69,Organized grid-enabled policy,Cameron Dean,978-1-970556-87-2,1970-09-10,False
70,Secured encompassing budgetary management,Ashley Smith,978-0-245-56111-5,1970-12-26,False
71,Public-key dedicated instruction set,James Perkins,978-1-4144-9571-2,2023-05-01,True
72,Diverse composite encryption,Brittney Sweeney,978-0-937342-31-2,2013-03-16,False
73,Upgradable disintermediate interface,Mr. Daniel James Jr.,978-1-219-29948-5,1991-03-26,False
74,Exclusive fault-tolerant capability,Travis Johnson,978-0-10-219966-6,2015-04-28,False
75,Persevering dedicated orchestration,Stacy Gutierrez,978-0-7120-5205-4,1985-01-13,True
76,Distributed homogeneous emulation,Emily Caldwell,978-1-4990-1313-9,2024-02-01,False
77,Secured bottom-line flexibility,Samantha Anderson,978-1-86379-041-3,2015-03-04,True
78,Multi-tiered object-oriented monitoring,Christopher Schmidt,978-1-313-46214-3,1992-09-02,True
79,Focused executive intranet,Victoria Baker,978-0-561-66133-9,2001-08-23,True
80,Synchronized secondary contingency,Jamie Jones,978-1-03-751478-4,1973-11-22,True
81,Multi-tiered motivating implementation,Jamie Ware,978-1-162-61639-1,2010-07-19,False
82,Reactive incremental Internet solution,Carrie Garcia,978-1-370-00728-8,2002-07-02,True
83,Open-source upward-trending monitoring,Alex Garcia,978-1-64068-792-9,2024-10-01,True
84,Distributed zero administration support,Holly Hernandez,978-1-09-548234-6,2021-08-02,True
85,Networked user-facing Graphic Interface,Jeffrey Roberts,978-0-14-187688-7,1982-07-06,True
86,Innovative maximized access,Gregory Hartman,978-0-7634-7083-8,1976-05-26,False
87,Public-key even-keeled analyzer,Melissa Garcia,978-0-336-31802-4,2017-06-28,True
88,Adaptive mobile encoding,Christine Reese,978-1-5058-4864-9,2023-06-21,False
89,Devolved coherent intranet,Tracy Meyer,978-0-619-19290-7,1984-07-02,False
90,Operative stable attitude,Brittany Gonzalez,978-1-63265-418-2,1998-08-29,True
91,Triple-buffered intermediate archive,Robin Bullock,978-0-9631352-4-7,2014-01-14,False
92,Customizable regional matrix,Jesse Williams,978-1-4499-1666-4,2020-03-19,True
93,Quality-focused user-facing hierarchy,Meghan Bright,978-1-4313-4231-0,1998-06-18,False
94,Ergonomic regional standardization,Alyssa Watts,978-0-16-427685-5,2021-07-05,True
95,Advanced tangible help-desk,Stephanie Brown,978-1-903230-99-2,2016-02-20,False
96,Cross-platform next generation utilization,Caleb Mercado,978-0-340-48685-6,1974-01-31,False
97,Persevering clear-thinking process improvement,Adam Mcbride,978-0-05-678329-4,2018-12-21,False
98,Organized intermediate contingency,Amanda Green,978-1-9866-6613-8,1998-01-27,False
99,Polarized 24/7 workforce,Heather Villarreal,978-0-631-51538-8,1977-04-03,True
100,Versatile motivating neural-net,Madeline Hill,978-0-07-395466-0,2021-09-25,True
